1,1,"KonaÄan ishod","1",105
2,2,"KonaÄan ishod","X",105
3,3,"KonaÄan ishod","2",105
4,44,"45 - 90","1-1",105
5,45,"45 - 90","1-X",105
6,46,"45 - 90","1-2",105
7,47,"45 - 90","X-1",105
8,48,"45 - 90","X-X",105
9,49,"45 - 90","X-2",105
10,50,"45 - 90","2-1",105
11,51,"45 - 90","2-X",105
12,52,"45 - 90","2-2",105
13,53,"45 - 90","ne 1-1",105
14,57,"45 - 90","ne 2-2",105
15,4,"Dupla Å¡ansa","1X",105
16,5,"Dupla Å¡ansa","12",105
17,6,"Dupla Å¡ansa","X2",105
18,401,"Dupla pobeda","11",105
19,402,"Dupla pobeda","22",105
20,294,"Gol - ne gol","1&GG",105
21,295,"Gol - ne gol","2&GG",105
22,70,"Golovi I poluvreme","1p1+",105
23,71,"Golovi I poluvreme","1p2+",105
24,72,"Golovi I poluvreme","1p3+",105
25,73,"Golovi I poluvreme","1p0-1",105
26,74,"Golovi I poluvreme","1p2-3",105
27,75,"Golovi I poluvreme","1p0",105
28,77,"Golovi I poluvreme","1p1-2",105
29,82,"Golovi II poluvreme","2p 1+",105
30,83,"Golovi II poluvreme","2p 2+",105
31,84,"Golovi II poluvreme","2p 3+",105
32,85,"Golovi II poluvreme","2p 0-1",105
33,86,"Golovi II poluvreme","2p 2-3",105
34,87,"Golovi II poluvreme","2p 0",105
35,89,"Golovi II poluvreme","2p 1-2",105
36,41,"I poluvreme","1",105
37,42,"I poluvreme","X",105
38,43,"I poluvreme","2",105
39,100,"II poluvreme","1",105
40,101,"II poluvreme","X",105
41,102,"II poluvreme","2",105
42,278,"Kombinacije","1&3+",105
43,279,"Kombinacije","2&3+",105
44,280,"Kombinacije","1&2+I",105
45,281,"Kombinacije","2&2+I",105
46,284,"Kombinacije","1&2-3",105
47,285,"Kombinacije","2&2-3",105
48,288,"Kombinacije","1&4+",105
49,289,"Kombinacije","2&4+",105
50,322,"Kombinacije dupla Å¡ansa","1X&2+",105
51,323,"Kombinacije dupla Å¡ansa","1X&3+",105
52,324,"Kombinacije dupla Å¡ansa","1X&4+",105
53,326,"Kombinacije dupla Å¡ansa","1X&0-2",105
54,327,"Kombinacije dupla Å¡ansa","1X&0-3",105
55,328,"Kombinacije dupla Å¡ansa","1X&GG",105
56,359,"Kombinacije dupla Å¡ansa","X2&2+",105
57,360,"Kombinacije dupla Å¡ansa","X2&3+",105
58,361,"Kombinacije dupla Å¡ansa","X2&4+",105
59,363,"Kombinacije dupla Å¡ansa","X2&0-2",105
60,364,"Kombinacije dupla Å¡ansa","X2&0-3",105
61,365,"Kombinacije dupla Å¡ansa","X2&GG",105
62,58,"Kombinacije dupla Å¡ansa poluvreme kraj","1X-1X",105
63,59,"Kombinacije dupla Å¡ansa poluvreme kraj","1X-12",105
64,60,"Kombinacije dupla Å¡ansa poluvreme kraj","1X-X2",105
65,61,"Kombinacije dupla Å¡ansa poluvreme kraj","12-1X",105
66,62,"Kombinacije dupla Å¡ansa poluvreme kraj","12-12",105
67,63,"Kombinacije dupla Å¡ansa poluvreme kraj","12-X2",105
68,64,"Kombinacije dupla Å¡ansa poluvreme kraj","X2-1X",105
69,65,"Kombinacije dupla Å¡ansa poluvreme kraj","X2-12",105
70,66,"Kombinacije dupla Å¡ansa poluvreme kraj","X2-X2",105
71,282,"Kombinacije poluvreme kraj","1-1&3+",105
72,283,"Kombinacije poluvreme kraj","1-1&2+I",105
73,292,"Kombinacije poluvreme kraj","2-2&3+",105
74,296,"Kombinacije poluvreme kraj","2-2&2+I",105
75,316,"Kombinacije poluvreme kraj","1-1&2+",105
76,317,"Kombinacije poluvreme kraj","1-1&2-3",105
77,320,"Kombinacije poluvreme kraj","1-1&GG",105
78,353,"Kombinacije poluvreme kraj","2-2&2+",105
79,354,"Kombinacije poluvreme kraj","2-2&2-3",105
80,357,"Kombinacije poluvreme kraj","2-2&GG",105
81,385,"Kombinacije poluvreme kraj","1-1&4+",105
82,386,"Kombinacije poluvreme kraj","2-2&4+",105
83,95,"Pada viÅ¡e golova","2>",105
84,96,"Pada viÅ¡e golova","1=2",105
85,68,"Prvi daje gol","1",105
86,69,"Prvi daje gol","2",105
87,403,"Sansa","1 v pp1",105
88,404,"Sansa","x v ppx",105
89,405,"Sansa","2 v pp2",105
90,406,"Sansa","1 v 3+",105
91,408,"Sansa","2+pp V 2+dp",105
92,409,"Sansa","3+pp V 3+dp",105
93,410,"Sigurna pobeda","sp1",105
94,411,"Sigurna pobeda","sp2",105
95,103,"Tacan rezultat","0:0",105
96,104,"Tacan rezultat","0:1",105
97,105,"Tacan rezultat","0:2",105
98,106,"Tacan rezultat","0:3",105
99,108,"Tacan rezultat","1:0",105
100,109,"Tacan rezultat","1:1",105
101,110,"Tacan rezultat","1:2",105
102,111,"Tacan rezultat","1:3",105
103,113,"Tacan rezultat","2:0",105
104,114,"Tacan rezultat","2:1",105
105,115,"Tacan rezultat","2:2",105
106,116,"Tacan rezultat","2:3",105
107,118,"Tacan rezultat","3:0",105
108,119,"Tacan rezultat","3:1",105
109,120,"Tacan rezultat","3:2",105
110,121,"Tacan rezultat","3:3",105
111,387,"Tim 1 golovi drugo poluvreme","1+",105
112,388,"Tim 1 golovi drugo poluvreme","2+",105
113,389,"Tim 1 golovi drugo poluvreme","0",105
114,390,"Tim 1 golovi drugo poluvreme","0-1",105
115,392,"Tim 1 golovi drugo poluvreme","1-2",105
116,393,"Tim 1 golovi drugo poluvreme","3+",105
117,290,"Tim 1 golovi kombinacije","2+I&1+II",105
118,291,"Ukupno golova kombinacije","1+I&2+II",105
119,384,"Tim 1 golovi kombinacije","2+I&2+II",105
120,211,"Tim 1 golovi prvo poluvreme","1+",105
121,212,"Tim 1 golovi prvo poluvreme","2+",105
122,213,"Tim 1 golovi prvo poluvreme","0",105
123,214,"Tim 1 golovi prvo poluvreme","0-1",105
124,216,"Tim 1 golovi prvo poluvreme","1-2",105
125,217,"Tim 1 golovi prvo poluvreme","3+",105
126,394,"Tim 2 golovi drugo poluvreme","1+",105
127,395,"Tim 2 golovi drugo poluvreme","2+",105
129,399,"Tim 2 golovi drugo poluvreme","1-2",105
130,400,"Tim 2 golovi drugo poluvreme","3+",105
131,218,"Tim 2 golovi prvo poluvreme","1+",105
132,219,"Tim 2 golovi prvo poluvreme","2+",105
133,220,"Tim 2 golovi prvo poluvreme","0",105
134,221,"Tim 2 golovi prvo poluvreme","0-1",105
135,223,"Tim 2 golovi prvo poluvreme","1-2",105
136,224,"Tim 2 golovi prvo poluvreme","3+",105
138,7,"Ukupno golova","0-1",105
139,8,"Ukupno golova","0-2",105
140,9,"Ukupno golova","2-3",105
141,10,"Ukupno golova","3+",105
142,11,"Ukupno golova","4+",105
143,12,"Ukupno golova","4-6",105
144,13,"Ukupno golova","5+",105
145,14,"Ukupno golova","7+",105
146,15,"Ukupno golova","2+",105
147,16,"Ukupno golova","0-3",105
148,17,"Ukupno golova","2-6",105
149,20,"Ukupno golova","6+",105
150,21,"Ukupno golova","2-4",105
151,22,"Ukupno golova","3-4",105
152,23,"Ukupno golova","1-3",105
153,24,"Ukupno golova","2-5",105
154,25,"Ukupno golova","3-5",105
155,26,"Ukupno golova","1-2",105
156,27,"Ukupno golova","4-5",105
157,28,"Ukupno golova","0-4",105
158,29,"Ukupno golova","1-4",105
159,30,"Ukupno golova","3-6",105
160,36,"Ukupno golova","1-5",105
161,293,"Ukupno golova kombinacije","1+I&1+II",105
162,305,"Ukupno golova kombinacije","2+I&4+",105
163,127,"Winner","1",105
164,128,"Winner","2",105
165,1,"KonaÄan ishod","1",44
166,2,"KonaÄan ishod","X",44
167,3,"KonaÄan ishod","2",44
168,4,"Dupla Å¡ansa","1",44
169,5,"Dupla Å¡ansa","X",44
170,6,"Dupla Å¡ansa","2",44
171,7,"Ukupno golova","0-1",44
172,8,"Ukupno golova","0-2",44
173,9,"Ukupno golova","2-3",44
174,10,"Ukupno golova","3+",44
175,11,"Ukupno golova","4+",44
176,12,"Ukupno golova","4-6",44
177,13,"Ukupno golova","5+",44
178,14,"Ukupno golova","7+",44
179,15,"Ukupno golova","2+",44
180,16,"Ukupno golova","0-3",44
181,18,"Ukupno golova","2 gol",44
182,19,"Ukupno golova","3 gol",44
183,20,"Ukupno golova","6+",44
184,21,"Ukupno golova","2-4",44
185,22,"Ukupno golova","3-4",44
186,23,"Ukupno golova","1-3",44
187,24,"Ukupno golova","2-5",44
188,25,"Ukupno golova","3-5",44
189,41,"Prvo poluvreme","P1",44
190,42,"Prvo poluvreme","PX",44
191,43,"Prvo poluvreme","P2",44
192,44,"45â€™ - 90â€™","1-1",44
193,45,"45â€™ - 90â€™","1-X",44
194,46,"45â€™ - 90â€™","1-2",44
195,47,"45â€™ - 90â€™","X-1",44
196,48,"45â€™ - 90â€™","X-X",44
197,49,"45â€™ - 90â€™","X-2",44
198,50,"45â€™ - 90â€™","2-1",44
199,51,"45â€™ - 90â€™","2-X",44
200,52,"45â€™ - 90â€™","2-2",44
201,58,"Kombinacija dva tipa","P1X&amp;1X",44
202,59,"Kombinacija dva tipa","P1X&amp;12",44
203,60,"Kombinacija dva tipa","P1X&amp;X2",44
204,61,"Kombinacija dva tipa","P12&amp;1X",44
205,62,"Kombinacija dva tipa","P12&amp;12",44
206,63,"Kombinacija dva tipa","P12&amp;X2",44
207,64,"Kombinacija dva tipa","PX2&amp;1X",44
208,65,"Kombinacija dva tipa","PX2&amp;12",44
209,66,"Kombinacija dva tipa","PX2&amp;X2",44
210,70,"Golovi prvo poluvreme","1+",44
211,71,"Golovi prvo poluvreme","2+",44
212,72,"Golovi prvo poluvreme","3+",44
213,77,"Golovi prvo poluvreme","1-2",44
214,78,"Golovi prvo poluvreme","1 gol",44
215,79,"Golovi prvo poluvreme","2 gol",44
216,82,"Golovi drugo poluvreme","1+",44
217,83,"Golovi drugo poluvreme","2+",44
218,84,"Golovi drugo poluvreme","3+",44
219,89,"Golovi drugo poluvreme","1-2",44
220,90,"Golovi drugo poluvreme","1 gol",44
221,91,"Golovi drugo poluvreme","2 gol",44
222,94,"Pada viÅ¡e golova","I>II",44
223,96,"Pada viÅ¡e golova","I=II",44
224,95,"Pada viÅ¡e golova","I<II",44
225,103,"TaÄan rezultat","0:0",44
226,104,"TaÄan rezultat","0:1",44
227,105,"TaÄan rezultat","0:2",44
228,106,"TaÄan rezultat","0:3",44
229,107,"TaÄan rezultat","0:4",44
230,108,"TaÄan rezultat","1:0",44
231,109,"TaÄan rezultat","1:1",44
232,110,"TaÄan rezultat","1:2",44
233,111,"TaÄan rezultat","1:3",44
234,112,"TaÄan rezultat","1:4",44
235,113,"TaÄan rezultat","2:0",44
236,114,"TaÄan rezultat","2:1",44
237,115,"TaÄan rezultat","2:2",44
238,116,"TaÄan rezultat","2:3",44
239,117,"TaÄan rezultat","2:4",44
240,118,"TaÄan rezultat","3:0",44
241,119,"TaÄan rezultat","3:1",44
242,120,"TaÄan rezultat","3:2",44
243,121,"TaÄan rezultat","3:3",44
244,123,"TaÄan rezultat","4:0",44
245,124,"TaÄan rezultat","4:1",44
246,125,"TaÄan rezultat","4:2",44
247,211,"DomaÄ‡in gol. pp","DI 1+",44
248,212,"DomaÄ‡in gol. pp","DI 2+",44
249,218,"Gost golovi pp","GI 1+",44
250,219,"Gost golovi pp","GI 2+",44
251,225,"Oba tima daju gol","GG",44
252,226,"Oba tima daju gol","NG",44
253,227,"Kombinacija dva tipa","GG&3+",44
254,228,"Oba tima daju gol","PPGG",44
255,229,"Oba tima daju gol","DPGG",44
256,231,"Kombinacija dva tipa","D2+&G2+",44
257,236,"DomaÄ‡in uk.golova","D 1+",44
258,237,"DomaÄ‡in uk.golova","D 2+",44
259,240,"Gol. u oba pol.","D1/1",44
260,243,"DomaÄ‡in uk.golova","D 3+",44
261,253,"Gost uk. golova","G 1+",44
262,254,"Gost uk. golova","G 2+",44
263,257,"Gol. u oba pol.","G1/1",44
264,260,"Gost uk. golova","G3+",44
265,278,"Kombinacija dva tipa","1&3+",44
266,279,"Kombinacija dva tipa","2&3+",44
267,280,"Kombinacija dva tipa","1&2+PP",44
268,281,"Kombinacija dva tipa","2&2+PP",44
269,282,"Kombinacija dva tipa","1-1&3+",44
270,284,"Kombinacija dva tipa","1&2-3",44
271,285,"Kombinacija dva tipa","2&2-3",44
272,288,"Kombinacija dva tipa","1&4+",44
273,289,"Kombinacija dva tipa","2&4+",44
274,291,"Golovi u oba poluvremena","1/2",44
275,292,"Kombinacija dva tipa","2-2&3+",44
276,293,"Golovi u oba poluvremena","1/1",44
277,305,"Kombinacija dva tipa","I2+&4+",44
278,322,"Kombinacija dva tipa","1X&2+",44
279,323,"Kombinacija dva tipa","1X&3+",44
280,359,"Kombinacija dva tipa","X2&2+",44
281,360,"Kombinacija dva tipa","X2&3+",44
282,387,"DomaÄ‡in gol. dp","DII 1+",44
283,388,"DomaÄ‡in gol. dp","DII 2+",44
284,394,"Gost golovi dp","GII 1+",44
285,395,"Gost golovi dp","GII 2+",44
286,401,"Dupla pobeda","DW1",44
287,402,"Dupla pobeda","DW2",44
288,403,"Prvo poluvreme ili kraj","1",44
289,404,"Prvo poluvreme ili kraj","X",44
290,405,"Prvo poluvreme ili kraj","2",44
291,406,"Kombinacija dva tipa","1V3+",44
292,407,"Kombinacija dva tipa","GG1VGG2",44
293,408,"Kombinacija dva tipa","I2+VII2+",44
294,104,"","0:1",106
295,105,"","0:2",106
296,106,"","0:3",106
297,107,"","0:4",106
298,108,"","1:0",106
299,109,"","1:1",106
300,110,"","1:2",106
301,111,"","1:3",106
302,112,"","1:4",106
303,113,"","2:0",106
304,114,"","2:1",106
305,115,"","2:2",106
306,116,"","2:3",106
307,117,"","2:4",106
308,118,"","3:0",106
309,119,"","3:1",106
310,120,"","3:2",106
311,121,"","3:3",106
312,122,"","3:4",106
313,123,"","4:0",106
314,124,"","4:1",106
315,125,"","4:2",106
316,126,"","4:3",106
317,1,"","1",106
318,3,"","2",106
319,44,"","1/1",106
320,50,"","2/1",106
321,46,"","1/2",106
322,52,"","2/2",106
323,62,"","12/12",106
324,127,"","1 DNB",106
325,265,"","1 Gl AN",106
326,263,"","1 Gl AY",106
327,248,"","1 Gl HN",106
328,246,"","1 Gl HY",106
329,37,"","1 Gl N",106
330,33,"","1 Gl Y",106
331,45,"","1/X",106
332,293,"","1+1+",106
333,291,"","1+2+",106
334,133,"","1-1st Card",106
335,313,"","12-",106
336,415,"","12 DC 2H",106
337,61,"","12/1X",106
338,63,"","12/X2",106
339,5,"","12DC",106
340,418,"","12DC 1H",106
341,26,"","1-2Gls",106
342,77,"","1-2Gls 1H",106
343,89,"","1-2Gls 2H",106
344,267,"","1-2Gls A",106
345,250,"","1-2Gls H",106
346,100,"","1-2nd Half",106
347,278,"","13+",106
348,23,"","1-3Gls",106
349,268,"","1-3Gls A",106
350,251,"","1-3Gls H",106
351,29,"","1-4Gls",106
352,36,"","1-5Gls",106
353,80,"","1G 1H N",106
354,78,"","1G 1H Y",106
355,92,"","1G 2H N",106
356,90,"","1G 2H Y",106
357,294,"","1GG",106
358,412,"","1H (0:1)",106
359,94,"","1Ht +Goals",106
360,406,"","1or3+",106
361,41,"","1-Prvo Poluvreme",106
362,414,"","1X DC 2H",106
363,59,"","1X/12",106
364,58,"","1X/1X",106
365,60,"","1X/X2",106
366,326,"","1X2-",106
367,322,"","1X2+",106
368,327,"","1X3-",106
369,323,"","1X3+",106
370,324,"","1X4+",106
371,4,"","1XDC",106
372,417,"","1XDC 1H",106
373,328,"","1XGG",106
374,128,"","2 DNB",106
375,266,"","2 Gls AN",106
376,264,"","2 Gls AY",106
377,249,"","2 Gls HN",106
378,247,"","2 Gls HY",106
379,38,"","2 Gls N",106
380,18,"","2 Gls Y",106
381,51,"","2/X",106
382,290,"","2+1+",106
383,384,"","2+2+",106
384,134,"","2-1st Card",106
385,350,"","22-",106
386,102,"","2-2nd Half",106
387,279,"","23+",106
388,9,"","2-3Gls",106
389,74,"","2-3Gls 1H",106
390,86,"","2-3Gls 2H",106
391,269,"","2-3Gls A",106
392,252,"","2-3Gls H",106
393,21,"","2-4Gls",106
394,24,"","2-5Gls",106
395,17,"","2-6Gls",106
396,81,"","2G 1H N",106
397,79,"","2G 1H Y",106
398,93,"","2G 2H N",106
399,91,"","2G 2H Y",106
400,295,"","2GG",106
401,413,"","2H (1:0)",106
402,95,"","2Ht +Goals",106
